id,path,predict,chosen_model,conf_m1,conf_m2,conf_m3
nang-giai_1618731750770,audio_data/private_test/nang-giai_1618731750770.wav,năng dài,model1_wav2vec2_vi,-0.0135,-2.9955,
nang-giai_1618731781800,audio_data/private_test/nang-giai_1618731781800.wav,năng dãi,model1_wav2vec2_vi,-0.0238,-3.017,
nang-giai_1618732605210,audio_data/private_test/nang-giai_1618732605210.wav,năng gải,model1_wav2vec2_vi,-0.0368,-3.0462,
nang-giai_1618732684413,audio_data/private_test/nang-giai_1618732684413.wav,năng giái,model1_wav2vec2_vi,-0.0273,-3.0128,
nang-giai_1618732695387,audio_data/private_test/nang-giai_1618732695387.wav,năng gải,model1_wav2vec2_vi,-0.0304,-2.9892,
nang-giai_1618732709490,audio_data/private_test/nang-giai_1618732709490.wav,năng dai,model1_wav2vec2_vi,-0.0253,-3.0039,
nhan-loai_1618732856294,audio_data/private_test/nhan-loai_1618732856294.wav,nhân loài,model1_wav2vec2_vi,-0.0156,-2.9995,
nhan-loai_1618732872207,audio_data/private_test/nhan-loai_1618732872207.wav,nhân noãi,model1_wav2vec2_vi,-0.0329,-3.0055,
nhan-loai_1618732882238,audio_data/private_test/nhan-loai_1618732882238.wav,nhân lại,model1_wav2vec2_vi,-0.0078,-3.0071,
nhan-loai_1618732889501,audio_data/private_test/nhan-loai_1618732889501.wav,nhânh loãi,model1_wav2vec2_vi,-0.029,-2.9856,
nhan-loai_1618732898716,audio_data/private_test/nhan-loai_1618732898716.wav,nhân loại,model1_wav2vec2_vi,-0.0144,-2.988,
nhan-loai_1618732907026,audio_data/private_test/nhan-loai_1618732907026.wav,nhìn loài,model1_wav2vec2_vi,-0.0175,-2.9854,
noi-trai_1618732921176,audio_data/private_test/noi-trai_1618732921176.wav,nơi trài,model1_wav2vec2_vi,-0.0147,-2.9851,
noi-trai_1618732962207,audio_data/private_test/noi-trai_1618732962207.wav,nơi trãi,model1_wav2vec2_vi,-0.0268,-2.9879,
noi-trai_1618733000841,audio_data/private_test/noi-trai_1618733000841.wav,nơi trải,model1_wav2vec2_vi,-0.0153,-3.0165,
noi-trai_1618733013767,audio_data/private_test/noi-trai_1618733013767.wav,nơi trái,model1_wav2vec2_vi,-0.0037,-3.0017,
noi-trai_1618733039043,audio_data/private_test/noi-trai_1618733039043.wav,nời trại,model1_wav2vec2_vi,-0.0393,-2.9847,
noi-trai_1618738065718,audio_data/private_test/noi-trai_1618738065718.wav,nơi trai,model1_wav2vec2_vi,-0.0116,-3.0121,
diem-dai_1618733094458,audio_data/private_test/diem-dai_1618733094458.wav,điểm đại,model1_wav2vec2_vi,-0.018,-3.0093,
nao-biet_1618733487266,audio_data/private_test/nao-biet_1618733487266.wav,nào biết,model1_wav2vec2_vi,-0.0085,-2.9698,
nao-biet_1618733496826,audio_data/private_test/nao-biet_1618733496826.wav,não biết,model1_wav2vec2_vi,-0.0138,-2.961,
nao-biet_1618733506225,audio_data/private_test/nao-biet_1618733506225.wav,nào biết,model1_wav2vec2_vi,-0.0179,-2.9665,
nao-biet_1618733512310,audio_data/private_test/nao-biet_1618733512310.wav,nào biết,model1_wav2vec2_vi,-0.0164,-2.9698,
nao-biet_1618733519224,audio_data/private_test/nao-biet_1618733519224.wav,nào biết,model1_wav2vec2_vi,-0.0111,-2.9915,
nao-biet_1618733525403,audio_data/private_test/nao-biet_1618733525403.wav,nào biết,model1_wav2vec2_vi,-0.0016,-2.9829,
goc-dao_1618733532757,audio_data/private_test/goc-dao_1618733532757.wav,gốc nào,model1_wav2vec2_vi,-0.0122,-2.9795,
goc-dao_1618733539306,audio_data/private_test/goc-dao_1618733539306.wav,gộc đão,model1_wav2vec2_vi,-0.0177,-2.9717,
goc-dao_1618733545392,audio_data/private_test/goc-dao_1618733545392.wav,gốc đảo,model1_wav2vec2_vi,-0.0086,-2.9884,
goc-dao_1618733550889,audio_data/private_test/goc-dao_1618733550889.wav,gốc đáo,model1_wav2vec2_vi,-0.0023,-2.9746,
goc-dao_1618733558238,audio_data/private_test/goc-dao_1618733558238.wav,ngốc đạo,model1_wav2vec2_vi,-0.0094,-2.994,
goc-dao_1618733566404,audio_data/private_test/goc-dao_1618733566404.wav,gúc đau,model1_wav2vec2_vi,-0.023,-2.9911,
xau-bao_1618733574612,audio_data/private_test/xau-bao_1618733574612.wav,xấu bà,model1_wav2vec2_vi,-0.0136,-2.998,
xau-bao_1618733581155,audio_data/private_test/xau-bao_1618733581155.wav,số bão,model1_wav2vec2_vi,-0.0141,-2.9916,
xau-bao_1618733650471,audio_data/private_test/xau-bao_1618733650471.wav,số báo,model1_wav2vec2_vi,-0.0054,-2.9656,
xau-bao_1618733657004,audio_data/private_test/xau-bao_1618733657004.wav,xấu bạo,model1_wav2vec2_vi,-0.0099,-2.9965,
xau-bao_1618733663590,audio_data/private_test/xau-bao_1618733663590.wav,sấu bao,model1_wav2vec2_vi,-0.0209,-2.9741,
chau-duong_1618736869409,audio_data/private_test/chau-duong_1618736869409.wav,chàu dương,model1_wav2vec2_vi,-0.045,-2.977,
chau-duong_1618736881005,audio_data/private_test/chau-duong_1618736881005.wav,cháu gương,model1_wav2vec2_vi,-0.0327,-2.9929,
chau-duong_1618736887537,audio_data/private_test/chau-duong_1618736887537.wav,cháu dương,model1_wav2vec2_vi,-0.0283,-2.9752,
chau-duong_1618736893598,audio_data/private_test/chau-duong_1618736893598.wav,cháu dương,model1_wav2vec2_vi,-0.0098,-2.9604,
chau-duong_1618736899520,audio_data/private_test/chau-duong_1618736899520.wav,chạu dương,model1_wav2vec2_vi,-0.0222,-2.999,
chau-duong_1618736907029,audio_data/private_test/chau-duong_1618736907029.wav,trau dương,model1_wav2vec2_vi,-0.0237,-2.9843,
nay-ngung_1618736920617,audio_data/private_test/nay-ngung_1618736920617.wav,này ngưng,model1_wav2vec2_vi,-0.0188,-2.975,
nay-ngung_1618736927877,audio_data/private_test/nay-ngung_1618736927877.wav,nãy ngưng,model1_wav2vec2_vi,-0.0433,-2.9781,
nay-ngung_1618736936150,audio_data/private_test/nay-ngung_1618736936150.wav,này ngưng,model1_wav2vec2_vi,-0.0265,-2.9881,
nay-ngung_1618736942843,audio_data/private_test/nay-ngung_1618736942843.wav,nãy ngưng,model1_wav2vec2_vi,-0.0318,-2.9668,
nay-ngung_1618736949818,audio_data/private_test/nay-ngung_1618736949818.wav,nạy ngưng,model1_wav2vec2_vi,-0.0289,-2.991,
nay-ngung_1618737005545,audio_data/private_test/nay-ngung_1618737005545.wav,này ngừng,model1_wav2vec2_vi,-0.0248,-2.9867,
nhan-may_1618737175146,audio_data/private_test/nhan-may_1618737175146.wav,nhân mày,model1_wav2vec2_vi,-0.0085,-3.0153,
nhan-may_1618737184337,audio_data/private_test/nhan-may_1618737184337.wav,nhân mãy,model1_wav2vec2_vi,-0.0073,-2.9877,
nhan-may_1618737191100,audio_data/private_test/nhan-may_1618737191100.wav,nhân máy,model1_wav2vec2_vi,-0.0225,-3.0084,
nhan-may_1618737211964,audio_data/private_test/nhan-may_1618737211964.wav,nhanh mãy,model1_wav2vec2_vi,-0.0196,-3.0173,
nhan-may_1618737218408,audio_data/private_test/nhan-may_1618737218408.wav,nhân mạnh,model1_wav2vec2_vi,-0.0104,-2.9885,
nhan-may_1618737224786,audio_data/private_test/nhan-may_1618737224786.wav,nhân may,model1_wav2vec2_vi,-0.0238,-3.0011,
chau-ngheo_1618737561855,audio_data/private_test/chau-ngheo_1618737561855.wav,cháu nghèo,model1_wav2vec2_vi,-0.0059,-3.0165,
chau-ngheo_1618737570660,audio_data/private_test/chau-ngheo_1618737570660.wav,cháu n nhão,model1_wav2vec2_vi,-0.0626,-2.993,
chau-ngheo_1618737577158,audio_data/private_test/chau-ngheo_1618737577158.wav,cháu nhẻo,model1_wav2vec2_vi,-0.0176,-2.9844,
chau-ngheo_1618737582825,audio_data/private_test/chau-ngheo_1618737582825.wav,cháu nghéo,model1_wav2vec2_vi,-0.0166,-2.9767,
chau-ngheo_1618737588768,audio_data/private_test/chau-ngheo_1618737588768.wav,cháu nghẹo,model1_wav2vec2_vi,-0.0111,-2.9934,
chau-ngheo_1618737594802,audio_data/private_test/chau-ngheo_1618737594802.wav,cháu ngheo,model1_wav2vec2_vi,-0.0482,-2.994,
nhi-ho_1618737765954,audio_data/private_test/nhi-ho_1618737765954.wav,nhì hô,model1_wav2vec2_vi,-0.0291,-2.9855,
nhi-ho_1618737771357,audio_data/private_test/nhi-ho_1618737771357.wav,nhĩ hô,model1_wav2vec2_vi,-0.0315,-2.9588,
nhi-ho_1618737777683,audio_data/private_test/nhi-ho_1618737777683.wav,nhì hô,model1_wav2vec2_vi,-0.0153,-2.9763,
nhi-ho_1618737783395,audio_data/private_test/nhi-ho_1618737783395.wav,nhỉ hôn,model1_wav2vec2_vi,-0.048,-2.9789,
nhi-ho_1618737789467,audio_data/private_test/nhi-ho_1618737789467.wav,nghị hô,model1_wav2vec2_vi,-0.0528,-2.9852,
nhi-ho_1618737795352,audio_data/private_test/nhi-ho_1618737795352.wav,nhi hô,model1_wav2vec2_vi,-0.0295,-3.0031,
mang-thit_1618737913548,audio_data/private_test/mang-thit_1618737913548.wav,mang thít,model1_wav2vec2_vi,-0.0167,-2.964,
mang-thit_1618737919433,audio_data/private_test/mang-thit_1618737919433.wav,mang thịt,model1_wav2vec2_vi,-0.0248,-2.9386,
men-bia_1618737968431,audio_data/private_test/men-bia_1618737968431.wav,men bìa,model1_wav2vec2_vi,-0.0119,-3.0138,
men-bia_1618737974177,audio_data/private_test/men-bia_1618737974177.wav,men bĩa,model1_wav2vec2_vi,-0.024,-3.0269,
men-bia_1618737980760,audio_data/private_test/men-bia_1618737980760.wav,nen địa,model1_wav2vec2_vi,-0.0338,-3.0123,
men-bia_1618737987010,audio_data/private_test/men-bia_1618737987010.wav,nen bía,model1_wav2vec2_vi,-0.0214,-3.0304,
men-bia_1618737995794,audio_data/private_test/men-bia_1618737995794.wav,men bia,model1_wav2vec2_vi,-0.029,-3.0356,
men-bia_1618738001831,audio_data/private_test/men-bia_1618738001831.wav,men bia,model1_wav2vec2_vi,-0.0264,-3.0299,
diem-dai_1618733066337,audio_data/private_test/diem-dai_1618733066337.wav,điểm đài,model1_wav2vec2_vi,-0.0056,-3.0092,
diem-dai_1618733076104,audio_data/private_test/diem-dai_1618733076104.wav,điểm đại,model1_wav2vec2_vi,-0.0219,-2.9998,
diem-dai_1618733209021,audio_data/private_test/diem-dai_1618733209021.wav,điểm đái,model1_wav2vec2_vi,-0.0116,-3.0111,
diem-dai_1618733217656,audio_data/private_test/diem-dai_1618733217656.wav,điểm đại,model1_wav2vec2_vi,-0.0071,-2.9962,
diem-dai_1618733225902,audio_data/private_test/diem-dai_1618733225902.wav,điểm đai,model1_wav2vec2_vi,-0.005,-2.9805,
khien-khai_1618733238879,audio_data/private_test/khien-khai_1618733238879.wav,khiển khai,model1_wav2vec2_vi,-0.0332,-3.0214,
khien-khai_1618733264791,audio_data/private_test/khien-khai_1618733264791.wav,khiển sãi,model1_wav2vec2_vi,-0.0186,-3.0132,
khien-khai_1618733273507,audio_data/private_test/khien-khai_1618733273507.wav,hiền khải,model1_wav2vec2_vi,-0.0213,-3.0112,
khien-khai_1618733280362,audio_data/private_test/khien-khai_1618733280362.wav,khiển khái,model1_wav2vec2_vi,-0.0124,-2.9924,
khien-khai_1618733286843,audio_data/private_test/khien-khai_1618733286843.wav,khiển sại,model1_wav2vec2_vi,-0.027,-2.9775,
khien-khai_1618733294258,audio_data/private_test/khien-khai_1618733294258.wav,khriển khai,model1_wav2vec2_vi,-0.0225,-3.0146,
cai-bi_1618733303874,audio_data/private_test/cai-bi_1618733303874.wav,tải bị,model1_wav2vec2_vi,-0.0235,-2.9564,
cai-bi_1618733310234,audio_data/private_test/cai-bi_1618733310234.wav,cái bị,model1_wav2vec2_vi,-0.0038,-2.9793,
cai-bi_1618733318277,audio_data/private_test/cai-bi_1618733318277.wav,trải bị,model1_wav2vec2_vi,-0.0311,-2.9723,
cai-bi_1618733326926,audio_data/private_test/cai-bi_1618733326926.wav,cái bị,model1_wav2vec2_vi,-0.0056,-2.9782,
cai-bi_1618733333877,audio_data/private_test/cai-bi_1618733333877.wav,cại bị,model1_wav2vec2_vi,-0.0202,-2.9868,
cai-bi_1618733341832,audio_data/private_test/cai-bi_1618733341832.wav,cai bị,model1_wav2vec2_vi,-0.0076,-2.9849,
thay-giao_1618733349826,audio_data/private_test/thay-giao_1618733349826.wav,thầy giào,model1_wav2vec2_vi,-0.014,-2.9648,
thay-giao_1618733357709,audio_data/private_test/thay-giao_1618733357709.wav,thầy giáo,model1_wav2vec2_vi,-0.0128,-2.9814,
thay-giao_1618733364760,audio_data/private_test/thay-giao_1618733364760.wav,thầy giáo,model1_wav2vec2_vi,-0.0121,-2.9893,
thay-giao_1618733375807,audio_data/private_test/thay-giao_1618733375807.wav,thầy giáo,model1_wav2vec2_vi,-0.0074,-2.9552,
thay-giao_1618733425139,audio_data/private_test/thay-giao_1618733425139.wav,thầy dạo,model1_wav2vec2_vi,-0.0107,-2.9763,
thay-giao_1618733431847,audio_data/private_test/thay-giao_1618733431847.wav,thầy da,model1_wav2vec2_vi,-0.0274,-2.9819,
phep-khao_1618733439748,audio_data/private_test/phep-khao_1618733439748.wav,phép khao,model1_wav2vec2_vi,-0.0239,-2.993,
phep-khao_1618733452744,audio_data/private_test/phep-khao_1618733452744.wav,sép khảo,model1_wav2vec2_vi,-0.0179,-2.9762,
phep-khao_1618733459097,audio_data/private_test/phep-khao_1618733459097.wav,phép khảo,model1_wav2vec2_vi,-0.022,-2.9783,
phep-khao_1618733465636,audio_data/private_test/phep-khao_1618733465636.wav,phép kháo,model1_wav2vec2_vi,-0.0096,-2.9891,
phep-khao_1618733472164,audio_data/private_test/phep-khao_1618733472164.wav,phép khảo,model1_wav2vec2_vi,-0.0112,-2.9641,
phep-khao_1618733479516,audio_data/private_test/phep-khao_1618733479516.wav,phép khao,model1_wav2vec2_vi,-0.0169,-3.0055,
