id,path,predict,chosen_model,conf_m1,conf_m2,conf_m3
nang-giai_1618731750770,audio_data/private_test/nang-giai_1618731750770.wav,naŋ zaː2j,model1_wav2vec2_vi,-0.0135,-2.9955,
nang-giai_1618731781800,audio_data/private_test/nang-giai_1618731781800.wav,naŋ zaː5j,model1_wav2vec2_vi,-0.0238,-3.017,
nang-giai_1618732605210,audio_data/private_test/nang-giai_1618732605210.wav,naŋ ɣaː4j,model1_wav2vec2_vi,-0.0368,-3.0462,
nang-giai_1618732684413,audio_data/private_test/nang-giai_1618732684413.wav,naŋ zaːɜj,model1_wav2vec2_vi,-0.0273,-3.0128,
nang-giai_1618732695387,audio_data/private_test/nang-giai_1618732695387.wav,naŋ ɣaː4j,model1_wav2vec2_vi,-0.0304,-2.9892,
nang-giai_1618732709490,audio_data/private_test/nang-giai_1618732709490.wav,naŋ zaːj,model1_wav2vec2_vi,-0.0253,-3.0039,
nhan-loai_1618732856294,audio_data/private_test/nhan-loai_1618732856294.wav,ɲən lwaː2j,model1_wav2vec2_vi,-0.0156,-2.9995,
nhan-loai_1618732872207,audio_data/private_test/nhan-loai_1618732872207.wav,ɲən nwaː5j,model1_wav2vec2_vi,-0.0329,-3.0055,
nhan-loai_1618732882238,audio_data/private_test/nhan-loai_1618732882238.wav,ɲən laː6j,model1_wav2vec2_vi,-0.0078,-3.0071,
nhan-loai_1618732889501,audio_data/private_test/nhan-loai_1618732889501.wav,ɲəɲ lwaː5j,model1_wav2vec2_vi,-0.029,-2.9856,
nhan-loai_1618732898716,audio_data/private_test/nhan-loai_1618732898716.wav,ɲən lwaː6j,model1_wav2vec2_vi,-0.0144,-2.988,
nhan-loai_1618732907026,audio_data/private_test/nhan-loai_1618732907026.wav,ɲi2n lwaː2j,model1_wav2vec2_vi,-0.0175,-2.9854,
noi-trai_1618732921176,audio_data/private_test/noi-trai_1618732921176.wav,nəːj tʃaː2j,model1_wav2vec2_vi,-0.0147,-2.9851,
noi-trai_1618732962207,audio_data/private_test/noi-trai_1618732962207.wav,nəːj tʃaː5j,model1_wav2vec2_vi,-0.0268,-2.9879,
noi-trai_1618733000841,audio_data/private_test/noi-trai_1618733000841.wav,nəːj tʃaː4j,model1_wav2vec2_vi,-0.0153,-3.0165,
noi-trai_1618733013767,audio_data/private_test/noi-trai_1618733013767.wav,nəːj tʃaːɜj,model1_wav2vec2_vi,-0.0037,-3.0017,
noi-trai_1618733039043,audio_data/private_test/noi-trai_1618733039043.wav,nəː2j tʃaː6j,model1_wav2vec2_vi,-0.0393,-2.9847,
noi-trai_1618738065718,audio_data/private_test/noi-trai_1618738065718.wav,nəːj tʃaːj,model1_wav2vec2_vi,-0.0116,-3.0121,
diem-dai_1618733094458,audio_data/private_test/diem-dai_1618733094458.wav,ɗiɛ4m ɗaː6j,model1_wav2vec2_vi,-0.018,-3.0093,
nao-biet_1618733487266,audio_data/private_test/nao-biet_1618733487266.wav,naː2w biɛɜt̪,model1_wav2vec2_vi,-0.0085,-2.9698,
nao-biet_1618733496826,audio_data/private_test/nao-biet_1618733496826.wav,naː5w biɛɜt̪,model1_wav2vec2_vi,-0.0138,-2.961,
nao-biet_1618733506225,audio_data/private_test/nao-biet_1618733506225.wav,naː2w biɛɜt̪,model1_wav2vec2_vi,-0.0179,-2.9665,
nao-biet_1618733512310,audio_data/private_test/nao-biet_1618733512310.wav,naː2w biɛɜt̪,model1_wav2vec2_vi,-0.0164,-2.9698,
nao-biet_1618733519224,audio_data/private_test/nao-biet_1618733519224.wav,naː2w biɛɜt̪,model1_wav2vec2_vi,-0.0111,-2.9915,
nao-biet_1618733525403,audio_data/private_test/nao-biet_1618733525403.wav,naː2w biɛɜt̪,model1_wav2vec2_vi,-0.0016,-2.9829,
goc-dao_1618733532757,audio_data/private_test/goc-dao_1618733532757.wav,ɣoɜk naː2w,model1_wav2vec2_vi,-0.0122,-2.9795,
goc-dao_1618733539306,audio_data/private_test/goc-dao_1618733539306.wav,ɣo6k ɗaː5w,model1_wav2vec2_vi,-0.0177,-2.9717,
goc-dao_1618733545392,audio_data/private_test/goc-dao_1618733545392.wav,ɣoɜk ɗaː4w,model1_wav2vec2_vi,-0.0086,-2.9884,
